名前,年齢,性別,居住地,住居情報,職業・役職,会社規模,年収,学歴,家族構成,価値観・人生観,ライフスタイル,趣味・嗜好,目標・理想,購買行動,情報収集方法,使用デバイス,SNS利用状況,日課・タイムスケジュール,悩み,解決したいこと,好きなブランドや商品,よく見る映画・動画チャンネル,人間関係,最近の出来事やエピソード
佐藤拓馬,18,男性,東京都世田谷区,実家（3LDKの戸建て）,大学生（専門学校生）,ー,学生バイト収入（週2回、コンビニで時給1000円、月8万円程度）,私立東京科学高等学校卒業予定、来年は大学に進学予定,両親と妹（高校2年生）の4人家族,家族との時間や仲間とのコミュニケーションを大切にする。将来的には社会貢献できる仕事に就きたいと考えている。,週末は友人との外出や勉強会、平日は学校やバイト後は自宅で学習やリラックスをする,サッカー、読書（SF小説）、ギター演奏、旅行,大学では情報工学科に進み、AIに関する知識を深めたい。将来はIT企業で働きたい。,必要最小限のものしか購入せず、節約志向。ただし趣味や学習関連のアイテムには投資する。,SNS（主にTwitter）、ニュースアプリ、学校の情報提供,iPhone、MacBook Air、Bluetoothヘッドフォン,InstagramとTwitterを活用。主に友人とのコミュニケーションや情報収集に使用している。,7:00 起床 → 8:00 学校へ → 17:00 帰宅（バイト日は22:00まで）→ 19:00 夕食 → 20:00 学習・趣味活動 → 23:00 就寝,進路についての不安、就職活動へのプレッシャー、学費の負担,勉強やバイトの時間管理方法、効率的な情報収集手段、趣味とのバランスの取り方,Apple、Adidas、Uniqlo,Netflix（SF映画・ドラマ）、YouTube（技術系チャンネル）,親友3人グループで活動している。高校時代からの仲間とは週1回以上会う。,最近はバイト先の新しい同僚との関係を築いている。大学進学に向けて、入学試験の準備をしている。
佐藤菜々子,23,女性,東京都世田谷区,賃貸マンション（1K）,Webデザイナー,50人未満の小さなデザインスタジオ,年収320万円,私立芸術大学 デザイン学部卒業,両親と姉（26歳）との4人家族。週末は実家で夕食を一緒にとることが多い。,クリエイティブな表現を通じて人々の生活を豊かにすること。自己成長への強い意欲がある。,早起きを心がけ、朝はヨガや散歩をする。仕事帰りには友人と映画を見に行くことが多い。,イラストレーション、写真撮影、手作りアクセサリーの作成,5年以内に独立し、自身のデザインスタジオを立ち上げること。国際的なデザインコンペティションで賞を受賞すること。,品質とデザイン性を重視する。環境に配慮した商品やサステナブルな製品を好む。,SNS（特にInstagram）、デザイン関連のウェブサイト、雑誌,"MacBook Pro, iPhone 13, iPad",InstagramとTwitter。主に仕事や趣味に関連したコンテンツをシェアしている。,6:00 起床 → 7:00 ヨガ/散歩 → 8:00 朝食 → 9:00 出社 → 18:00 帰宅 → 20:00 夕食（友人と）→ 22:00 趣味の時間/Netflix視聴 → 23:30 就寝,仕事とプライベートのバランスを保つこと。将来的な独立資金の準備。,スキルアップのためにデザイン関連のオンラインコースに参加すること。独立のためのビジネス計画の立案。,"Apple, Muji, Uniqlo","Netflix (特に映画), YouTube (デザインやアート関連のチャンネル)",友人グループは小学校からの親友と大学時代の同級生が中心。仕事ではクライアントとの信頼関係を大切にしている。,先月、初めての個展を開催し、好評を得た。最近、新しいプロジェクトの立ち上げに携わっている。
田中 光司,27,男性,東京都渋谷区,ワンルームマンション（家賃10万円/月）,ITコンサルタント,"大手企業（3,000人以上）",650万円/年,早稲田大学 経済学部 卒業,両親と同居（父：会社員、母：主婦）,家族や友人との時間を大切にし、社会貢献にも意欲的。仕事は挑戦的なプロジェクトを好む。,早起きして朝活を行い、健康的な生活を心がけている。週末は地元のコミュニティイベントに参加する。,プログラミング、マラソン、読書（ビジネス書と心理学系）,5年以内に管理職に昇進し、海外支社での勤務を経験すること。長期的には起業を目指す。,品質と価値を見極めて購入する。新しいテクノロジーやガジェットには積極的。,ニュースサイト、専門家のブログ、SNSでの情報を参考にしている。,"iPhone, MacBook Pro, スマートウォッチ",LinkedIn（ビジネス関連の情報収集）、Instagram（趣味や生活の記録）,6:00 起床、7:00 朝食とニュースチェック、8:30 出勤、12:00 昼休憩、19:00 帰宅、21:00 趣味の時間、23:00 就寝,仕事とプライベートのバランスを保つこと。親の介護問題について心配している。,より効率的な時間管理方法やストレスマネジメント技術を学びたい。将来のキャリアパスを明確にしたい。,"Apple, Nike, Amazon",Netflix（ドキュメンタリー）、YouTube（教育系チャンネル）,同僚との良好な関係を築いている。親友は大学時代からの友人で、月1回の食事会をしている。,先週、社内ハッカソンに参加し、新しいアプリケーション開発アイデアを提案した。来月には同窓会が予定されている。
小林美咲,27,女性,東京都目黒区,一人暮らしの1LDKマンション,データサイエンティスト,大手IT企業（5000人以上）,年収800万円,早稲田大学情報理工学部卒業,両親と弟の4人家族。現在は実家を離れて一人暮らし。,自己成長と社会貢献、多様性の尊重,健康的な生活習慣を持ち、定期的にジムに通う。週末には友人とカフェ巡りを楽しむ。,料理、プログラミング、読書（特に心理学や科学系）,3年以内にデータサイエンスのエキスパートとして独立し、自分のコンサルティング会社を開くこと,品質と価値を見極めて購入。長期的に使える商品を好む。,ニュースサイト、専門家のブログ、オンラインセミナー,"iPhone 13 Pro, MacBook Air M1, Fitbit Charge 4",Instagram（インスピレーションを得るため）、LinkedIn（業界の最新情報を得るため）,6:00 起床 → 7:00 ヨガ・瞑想 → 8:00 朝食 & ニュースチェック → 9:00 出勤 → 18:00 帰宅 → 20:00 夕食 & 家事 → 21:30 読書 or 独学 → 23:00 就寝,仕事とプライベートのバランス、健康管理、将来的なキャリアパス,スキルアップのための教育プログラム、健康的なライフスタイルを維持する方法、効率的な時間管理の方法,"Apple, Patagonia, Muji","Netflix (ドキュメンタリー), TED Talks, アニメ (鬼滅の刃)",職場の同僚とは仲が良く、友人は多様な背景を持つ人々。恋人は同じIT業界で働くエンジニア。,先月、会社のプロジェクトでAIモデルを構築し、大きな成果を上げた。来週にはデータサイエンスに関するカンファレンスに参加予定。
田中浩介,35,男性,東京都世田谷区,持ち家（4LDK）,ソフトウェアエンジニア,"大企業（10,000人以上）",年収950万円,早稲田大学理工学部卒業,夫婦2人暮らし、子供なし,家族と仕事のバランスを大切にすること。持続可能な社会を目指す。,週末は自宅で映画を観たり、近所のカフェで本を読むことが多い。平日は通勤時間を使ってポッドキャストを聞く。,プログラミング、旅行、料理,将来的にはスタートアップを立ち上げることを目指している。また、年1回の海外旅行を続けること。,品質と価格のバランスを重視する。オンラインショッピングを好むが、実店舗でも新商品を試すことが多い。,"ニュースアプリ（CNN, NHK）、ビジネス誌、テクノロジー関連ポッドキャスト","iPhone 14 Pro Max, MacBook Air M2, iPad Pro",Twitter (仕事の情報収集)、Instagram (趣味の写真共有)、LinkedIn (ビジネスネットワーク),6:30 起床 → 7:00 朝食とポッドキャスト → 8:00 出社 → 12:00 昼休憩 → 18:00 退社 → 19:00 夕食 → 20:00 自宅でリラックス → 23:00 就寝,仕事と家庭のバランスを保つこと。将来のキャリアパスについて迷っている。,効率的な時間管理方法を見つけること。新しいテクノロジーに積極的に取り組むこと。,"Apple, Nike, Sony","Netflix, Hulu, TED Talks",友人は主に大学時代の同級生や職場の人間関係。週1回は友人グループと会合を持つ。,先月、社内のプロジェクトで表彰を受けた。今週末には妻と一緒に近所の新しいレストランを訪れる予定。
松田美和子,37,女性,東京都中央区,"マンション (2LDK, 築5年)",WEBデザイナー,10人未満の小さなデザインスタジオ,600万円/年,東京藝術大学芸術学部デザイン学科卒業,未婚、一人暮らし。猫を2匹飼っている。,自己表現と創造性の追求。家族や友人との絆を大切にする。,健康的な食生活を心がけている。週末には友人とアートイベントに参加することが多い。,イラストレーション、写真撮影、読書（特にデザイン関連の本）,独立して自分のデザインスタジオを持つこと。海外での作品展示を目指している。,品質とデザイン性を重視する。新しいデバイスやテクノロジーに興味があり、頻繁に購入する。,デザイン雑誌、SNSのフォロワー、オンラインセミナー,"MacBook Pro, iPhone, iPad, デジタルカメラ (Nikon D850)",Instagram: 毎日1時間程度。ポートフォリオを共有している。Twitter: 興味のあるトピックについての情報を得るために使用,7:00 起床、9:00 出勤、12:00 昼食、18:00 帰宅、20:00 猫との時間、22:00 就寝,仕事のバランスとプライベートの時間確保。将来的な独立資金の準備。,新しいクライアント獲得のための効果的なマーケティング方法。デザインスキルの向上。,"Apple, Adobe, Uniqlo, Muji",Netflix (特にドキュメンタリー番組)、YouTube (デザイン関連のチャンネル),友人との交流が頻繁。職場では同僚と良好な関係を築いている。,先月、地元のアートフェスティバルで作品を展示し、好評を得た。
佐藤健一,47,男性,東京都目黒区,3LDKのマンション（所有）,システムエンジニア・プロジェクトリーダー,"大手IT企業（従業員数10,000人以上）",年収850万円,早稲田大学理工学部卒業,妻（46歳）、娘（19歳、大学1年生）、息子（17歳、高校3年生）,家族の時間を大切にし、仕事とプライベートのバランスを重視。誠実さと信頼性を重んじる。,早起きhabitualで、朝は散歩や軽いジョギングをする。土日は家族との時間を多く過ごす。,ガーデニング、自宅での料理、プログラミングの個人プロジェクト,50歳までに副業を始めて収入源を多样化させること。家族旅行で海外に行くこと。,品質と耐久性を重視し、長く使える製品を選ぶ傾向がある。オンラインショッピングも頻繁に行う。,ニュースサイト、専門的な技術書籍、SNSでの情報収集,スマートフォン（iPhone）、ノートPC（MacBook Pro）、スマートウォッチ（Apple Watch）,LinkedIn: ビジネス関連の情報を得るため。Instagram: 家族や趣味の写真を共有するため。,6:00 起床、7:00 散歩、8:00 朝食、9:00 出勤、18:00 帰宅、20:00 家族と夕食、22:00 就寝,子供たちの進路や将来、健康問題への不安,子供の教育費をセーブするために節約方法を探すこと。仕事とのバランスを取りつつ家族時間を増やすこと。,"Apple, Sony, Panasonic",Netflix（映画・ドラマ）、YouTube（料理やDIY動画）,職場では信頼されるリーダーとしての位置づけ。近所の人々とも良好な関係を築いている。,先月、家族で北海道旅行に行った。来月は長女が一人暮らしを始めるため、準備に追われている。
佐藤和子,47,女性,東京都中央区,マンション（3LDK）,マーケティングディレクター,"大企業（10,000人以上）",年収1200万円,早稲田大学文学部卒業,夫（50歳、会社員）、娘（18歳、高校生）、息子（16歳、中学生）,家族の時間を大切にすること。仕事とプライベートのバランスを保つこと。,朝は早起きし、ランニングやヨガをする。週末は家族で外出する。,料理、旅行、読書（特に文学作品）,仕事ではチームのパフォーマンスを向上させること。家庭では娘と息子が独立するまでのサポート。,品質重視。環境に配慮した製品やサービスを好む。,ニュースサイト、SNS（特にFacebook）、書籍,スマートフォン、タブレット、PC,週数回、主に家族とのコミュニケーションや仕事の情報収集に利用,6:00 起床 → 7:00 ランニング/ヨガ → 8:00 朝食 → 9:00 出勤 → 18:00 帰宅 → 20:00 夕食 → 22:00 仕事の確認・読書,娘と息子が将来、社会に適応できるか。高齢になった両親の介護問題。,家族の健康管理。仕事の効率化。精神的なリラックス方法の探索。,無印良品、アディダス、ボーネルンド,Netflix（ドラマ、映画）、Kindle（電子書籍）,友人との定期的な会食。仕事では信頼できる同僚と良好な関係を築いている。,先月、家族で北海道旅行に行った。会社では新しいプロジェクトの立ち上げに携わった。
田中康介,54,男性,東京都世田谷区,一戸建て（3LDK）,医師・心療内科専門医,私立病院勤務（100〜500人規模）,"年収約2,000万円",東京医科大学卒業、医学博士号取得,妻（48歳）、長女（26歳、会社員）、次女（24歳、大学院生）,家族の健康と幸せを最優先に考え、仕事も患者さんの心身の健康を第一に考える。社会貢献への意欲が高い。,規則正しい生活習慣で、早寝早起き。休日は家族と過ごすことが多い。趣味や読書も大切にする。,釣り、クラシック音楽鑑賞、園芸,今後5年以内に病院の副院長になること、そして患者さんの心の健康をより深く理解するために心理学の学位を取得することを目指している。,品質重視で高価格帯の商品を好む。信頼できるブランドや製品を選ぶ傾向がある。,医学雑誌、専門書籍、オンラインメディカルニュース,iPhone、iPad、MacBook Pro,SNSはあまり使用せず、主に家族とのコミュニケーションのためにLINEを使用。研究情報の共有には医療関係者のための専用フォーラムを利用している。,6:00 起床 → 7:00 家族と朝食 → 8:00 病院へ出勤 → 13:00 昼休憩 → 19:00 帰宅 → 21:00 適度にリラクゼーション（読書、音楽） → 23:00 就寝,高齢の両親の健康と介護問題、娘たちの将来への不安,病院での地位向上を目指すための研修や勉強会への参加、家族との時間を大切にすること、心療内科医としての専門知識を深めること,Apple、Bose、Patagonia,NHKニュース、映画（主にドラマやドキュメンタリー）,病院での同僚や患者さんとの関係が良好。地域の医療団体にも積極的に参加している。,最近はコロナ禍でオンライン診療が増え、新しい治療法について勉強会を開いた。また、次女が大学院の研究発表会で優秀賞を受賞したことが大きな励みになっている。
山田美智子,53,女性,神奈川県横浜市青葉区,一戸建て（2階建て）,小学校教諭,公立学校,500万円〜600万円,東京都立大学教育学部卒業,夫（会社員、57歳）、長女（大学生、23歳）、次男（高校生、18歳）,家族の絆を重視し、子供たちが自立するために必要なサポートを提供すること。仕事では、子どもたちに夢と希望を与えることが大切。,早起き習慣があり、朝はジョギングやヨガをする。仕事が終わると夕食の準備をして家族で食事をとる。,読書（主に小説）、料理、旅行,早期退職して夫と共に世界一周の旅をしたい。また、リタイア後は地域の子供たちのためのボランティア活動に参加する予定。,品質と実用性を重視し、長期的に使えるものを選ぶ傾向がある。ただし、旅行や趣味に関する支出は比較的気前が良い。,新聞（朝日新聞）、テレビニュース、教育関連の専門書籍,スマートフォン（iPhone）、タブレット（iPad）,Facebook（主に友人とのコミュニケーションや情報収集用）、Instagram（主に旅行や料理の写真を共有）,5:30 起床、6:00 ジョギング、7:00 ヨガ、8:00 朝食準備と家族で食事、9:00 学校へ出勤、18:00 帰宅、19:00 夕食の準備と家族で食事、21:00 読書や趣味の時間、23:00 就寝,子供たちが成長して独立することによる空虚感。また、高齢化社会における老後の不安。,家族との絆を深めつつ、自身の人生も楽しみたい。仕事面では、子どもたちに良い影響を与えられるような教育方法を探している。,UNIQLO（カジュアルウェア）、RIMOWA（旅行用スーツケース）、 KitchenAid（調理器具）,映画（洋画、特にロードムービーや家族ドラマ）、Netflixのドキュメンタリーシリーズ,家族との関係が最も大切で、夫とは仲が良く、子供たちとでも親密な関係を築いている。友人との交流も定期的に行っている。,先月、長女が大学の夏休みを利用して海外ボランティアに参加した。また、次男は高校の文化祭で賞を受賞し、家族全員で祝福した。
田中健一,65,男性,東京都世田谷区,4LDKの戸建て（所有）,元会社員、現在は地域コミュニティのボランティアリーダー,大企業（退職後は関与なし）,年金収入約300万円,早稲田大学経済学部卒業,妻（62歳）、長女（40歳、既婚）、次女（38歳、独身）,家族の絆を重視し、地域社会への貢献を大切にしている。健康と趣味の時間を大切にする。,朝は散歩を楽しみ、午前中は家の周りの草取りや木々のお手入れをする。昼食後は地元のコミュニティセンターや図書館で過ごすことが多い。夕方は家族との時間や友人との集まりがある。,園芸、釣り、ゴルフ（月1回）、読書（主に歴史小説と経済関連の本）,地域コミュニティを活性化させること。家族との時間をより質の高いものにすること。,必要なものを購入する際は、信頼できる商品やブランドを選択する。特に食品にはこだわりがあり、健康的な選択をする傾向がある。,新聞（朝日新聞）、地元のコミュニティニュースレター、TVニュース,スマートフォン（Android）、タブレット（iPad）,Facebook（主に孫とのコミュニケーションや地域の情報交換に利用）,6:00 起床 → 7:00 散歩 → 8:30 朝食 → 9:30 庭仕事 → 12:00 昼食 → 13:00 地域コミュニティセンターや図書館へ → 17:00 帰宅、家族との時間 → 20:00 夕食 → 21:00 読書やTV視聴 → 22:30 就寝,高齢化に伴う健康問題。孫たちの教育環境。,健康的な生活を維持するために、適度な運動と栄養バランスの良い食事を取り入れたい。地域コミュニティの活性化のために新しいアイデアやサポートが必要。,パナソニック（家電）、コカ・コーラ（飲料）、ユニクロ（衣料品）,NHK BSプレミアム、Netflix（主にドキュメンタリー）,地元の仲間や友人との関係が深い。孫たちとはSNSを介して頻繁にコミュニケーションを取っている。,先月、地域で開催された夏祭りの実行委員として活動し、成功させることができた。家族と孫たちと一緒に旅行に行き、楽しい時間を過ごした。
田中和子,65,女性,東京都世田谷区,持ち家（4LDK）,地域の公民館で非常勤講師（茶道）,－（個人活動）,年収約200万円（講座料金と手当）,私立女子大学文学部卒業,夫（70歳、退職済み）、息子（40歳、結婚している、孫が1人）,家族や地域との絆を大切にし、伝統文化の継承に尽力する。健康維持と自己成長も重視する。,朝は早起きして散歩、午前中は家事を済ませてから公民館で講座を受け持ち、午後は趣味や孫との時間を過ごす。週末には夫と一緒に映画や美術展を楽しむ。,茶道、書道、料理、旅行,地域の文化活動に積極的に参加し、若者への伝統文化教育の機会を作りたい。孫との時間をより楽しく有意義なものにしたい。,質の良い商品やサービスを選びがちで、長く使えるものを好む。地元の商店街での買い物も頻繁に行う。,地域の新聞、公民館のチラシ、孫から教えてもらうスマートフォンアプリ,スマートフォン（Android）、タブレット（iPad）,Facebookで孫とのコミュニケーションや友人との交流。Instagramでは趣味の写真を投稿している。,7:00 起床 → 8:00 散歩 → 9:00 家事 → 12:00 昼食 → 13:00 公民館での講座準備・実施 → 15:00 息子や孫との時間、趣味の活動 → 21:00 就寝,夫の健康状態に不安があり、自身の介護が必要になった時のことを考えている。また、伝統文化が徐々に薄れることにも危機感を持っている。,健康維持のための適切な運動や食事方法を学びたい。孫とのコミュニケーションツールをもっと活用したい。,無印良品、コスメデコルテ、三越,NHK教育テレビ「趣味悠々」、Netflixのドキュメンタリーシリーズ,夫との関係が良好で、孫とも親密。友人グループでの交流も活発。,先月、孫と一緒に陶芸教室に参加し、素敵な作品を作った。また、公民館の茶道講座が好評で、来年度も引き続き担当することになった。
